【整租】立水桥 贝客公寓立水桥店 1室1厅,【整租】立水桥,3600,http://bj.58.com/pinpaigongyu/27868409729102x.shtml
【整租】西红门 乐乎城市青年社区 1室1厅,【整租】西红门,3190,http://bj.58.com/pinpaigongyu/27435321679671x.shtml
【整租】立水桥 乐乎城市青年社区 1室1厅,【整租】立水桥,2799,http://bj.58.com/pinpaigongyu/27890953415735x.shtml
【整租】西红门 乐乎城市青年社区 1室1厅,【整租】西红门,2750,http://bj.58.com/pinpaigongyu/27857650077874x.shtml
【整租】西红门 乐乎城市青年社区 1室1厅,【整租】西红门,2750,http://bj.58.com/pinpaigongyu/27879024056140x.shtml
【合租】四惠 朝阳旺角 3室主卧,朝阳旺角,2250,http://bj.58.com/pinpaigongyu/27814181229898x.shtml
【整租】管庄 魔方公寓 1室1厅,【整租】管庄,2800,http://bj.58.com/pinpaigongyu/27769862636469x.shtml
【整租】管庄 魔方公寓 1室1厅,【整租】管庄,2800,http://bj.58.com/pinpaigongyu/27738483591337x.shtml
【整租】高米店 乐乎城市青年社区 1室1厅,【整租】高米店,2250,http://bj.58.com/pinpaigongyu/27747301744206x.shtml
【整租】亦庄 蜂客公寓 1室1厅,【整租】亦庄,2780,http://bj.58.com/pinpaigongyu/27866824862511x.shtml
【整租】西红门 乐乎城市青年社区 1室1厅,【整租】西红门,2750,http://bj.58.com/pinpaigongyu/27593624482236x.shtml
【整租】枣园 乐乎城市青年社区 1室1厅,【整租】枣园,2250,http://bj.58.com/pinpaigongyu/27857443542075x.shtml
【合租】亚运村小营 嘉铭园 5室次卧,嘉铭园,2600,http://bj.58.com/pinpaigongyu/27459987626294x.shtml
【整租】立水桥 贝客公寓立水桥店 1室1厅,【整租】立水桥,3950,http://bj.58.com/pinpaigongyu/27868507678014x.shtml
【整租】立水桥 乐乎城市青年社区 1室1厅,【整租】立水桥,2799,http://bj.58.com/pinpaigongyu/27778997707962x.shtml
【合租】亚运村小营 嘉铭桐城 5室主卧,嘉铭桐城,2500,http://bj.58.com/pinpaigongyu/27715441711437x.shtml
【合租】亚运村 金泉家园 3室主卧,金泉家园,2600,http://bj.58.com/pinpaigongyu/27413444941645x.shtml
【整租】管庄 魔方公寓 1室1厅,【整租】管庄,2800,http://bj.58.com/pinpaigongyu/27768244299329x.shtml
【整租】亦庄 魔方公寓 1室1厅,【整租】亦庄,3400,http://bj.58.com/pinpaigongyu/27760556688964x.shtml
